A duck for Mr Darwin
Antony Gormley
Artists Books
Barry McGee
Bharti Kher
Bob and Roberta Smith
Cage Mix
Candice Brietz
Carol Rama Retrospective
Carsten Hšller
Chad McCail
Chiho Aoshima
Chris Burden
Cobra
Cutup Collective
Damien Hirst
Goodwin Kippen Marketa Luscova
DZINE
Erwin Wurm
Eva Grubinger
Germaine Koh
History of Disappearance
Jane & Louise Wilson
Jane & Louise Wilson
Jaume Plensa
Julian Germain
Julian Opie
Kerry James Marshall
Kienholz
Mariko Mori
Mark Manders
Mark Titchner
Martin Puryear
Maurizio Cannavacciuolo
…yvind Fahlstršm
Pedro Cabrita Reis
Phyllida Barlow
Sam Taylor Wood
Sarah Size
Sigurdur Gudmundsson
Sirkka Lisa
Spank the Monkey
Spero/Smith
Surasi Kusolwong
Susan Hiller
The British Art Show 6
Tobias Putrih & mos
Tomas Saraceno
Wang Du
Yoshitomo Nara +Graf
