A duck for Mr Darwin,170082
A spoken word Exhibition,0
Akram Zaatari,70225
Anselm Kiefer,75411
Ant Macari,0
Antonio Riello,70121
Antony Gormley,309626
Antti Lattinen,4675
Archigram,71428
Artists Books,301299
Barnaby Furnas,62351
Barry McGee,106025
Barthelemy Toguo,92976
Beat Streuli,43467
Bharti Kher,113749
Bill Fontana,91673
Bob and Roberta Smith,130605
Brian Eno,84862
Cage Mix,134313
Candice Brietz,105851
Carlos Capelan,35511
"Carol Rama Retrospective,",102334
Carsten Höller,214301
Chad McCail,213540
Chiho Aoshima,97662
Chris Burden,314249
Cobra,104842
Cornelia Parker,94963
Couples,38120
Ctrl.Alt.Shift,17540
Cutup Collective,159497
Damien Hirst,110151
Dan Holdsworth,64961
David Blandy,77305
David Shrigley,63040
Dirk Bell,75411
Double Agent,95101
"Dryden Goodwin, John Kippen, Marketa, Luscova",162283
Duane Hopkins,0
Duncan Campell,35256
DZINE,118186.5
Elizabeth Magill,37634
Erwin Wurm,118186.5
Etienne Clément,71421
Eva Grubinger,121551
Fiona Crisp,74227
George Maciunas,63283
George Shaw,32370
George Shaw,41680
Germaine Koh,118052
Harland Miller,55624
Hippelainen & Grano,46811
History of Disappearance,111844
Hutchinson,82958
Iain Forsyth and Jane Pollard,47795
J. Hugonin and I. Stephenson,82646
Jane & Louise Wilson,251392
Jane & Louise Wilson,121551
Jaume Plensa,170483
Jenny Holzer,26591
Jesper Just,41680
John Cage,80178
Jordan Baseman,51022
Joseph Havel,95571
Julian Germain,99947
Julian Opie,234774
Julian Rosefeldt*,44009
Kader Attia,
Keith Haring,81959
Kendell Geers,0
Kerry James Marshall,102707
Kienholz,141199
Kimsooja,95103
Learning to love you,0
Linder,0
Lindsay Seers,46707
Mahmoud Khaled,11102
Malcolm McLaren,72748
Marcus Coates,39337
Mariko Mori,123038
Mark Manders,109769
Mark Titchner,106025
Martin Parr,77069
Martin Puryear,102983
Matt Stokes,26205
Maurizio Cannavacciuolo,134865
Mike Stubbs,34662
Mona Marzouk,71865
Nan Goldin,0
Olav Christopher Jenssen,93739
Öyvind Fahlström,120981
Package Holiday,92733
Paul Moss,61966
Pedro Cabrita Reis,146362
Phyllida Barlow,164172
Raqs Media Collective,68162
Sam Taylor Wood,127574.5
Sarah Size,150258
Seripop,1388
Shahryar Nashat,56671
Sigurdur Gudmundsson,125757
Sirkka Lisa,152240
Sora Kim,80766
Spank the Monkey,109321
Spencer Tunik,85233
Spero/Smith,129505
Steve McQueen,72416
Subodh Gupta,80766
Suki Best,
Surasi Kusolwong,116494.5
Susan Hiller,108771
The British Art Show 6,101881
The G Word,8772
The Zabludowicz Collection,0
Thomas Florschuetz*,42035
Tobias Putrih & mos,150258
Tomas Saraceno,103372
Vik Muniz,84862
Wang Du,127574.5
Wang Qongsong,31405
Whiteplanes 2,11564
Yoko Ono,82494
Yoshitomo Nara +Graf,141479
You Shall Know Our Velocity,85233
Zilvianas Kempinas,10793
Zoe Walker and Neil Bromwich,0
